,,accuracy,topk,clean_CUDA_time,clean_CUDA_mem,clean_CPU_time,clean_CPU_mem,clean_GFLOPs,adv_CUDA_time,adv_CUDA_mem,adv_CPU_time,adv_CPU_mem,adv_GFLOPs,diff_outliers,diff_outliers_%,diff_GFLOPs,diff_GFLOPs_%,diff_CUDA_mem,diff_CUDA_mem_%,diff_CUDA_time,diff_CUDA_time_%
/sise/home/barasa/8_bit/experiments/April/2_350_1_True/results.csv,mean,0.0,0.04,30.308,999.588,489.409,0.0,0.851,32.158,1095.255,526.662,0.0,0.851,2409.446,11.091,0.0,0.0,95.667,0.096,1.849,0.061
/sise/home/barasa/8_bit/experiments/April/2_350_1_True/results.csv,std,0.0,0.196,0.226,11.361,24.015,0.0,0.0,0.153,8.613,28.448,0.0,0.0,160.06,2.909,0.0,0.0,11.758,0.013,0.287,0.01
/sise/home/barasa/8_bit/experiments/April/2_350_3_True/results.csv,mean,0.01,0.01,30.386,997.556,548.699,0.0,0.851,32.297,1083.833,587.407,0.0,0.851,2594.584,11.72,0.0,0.0,86.277,0.087,1.911,0.063
/sise/home/barasa/8_bit/experiments/April/2_350_3_True/results.csv,std,0.1,0.1,0.218,15.684,21.247,0.0,0.0,0.145,9.733,28.887,0.0,0.0,131.817,2.369,0.0,0.0,14.306,0.015,0.246,0.008
/sise/home/barasa/8_bit/experiments/April/2_350_5_True/results.csv,mean,0.0,0.01,51.414,1007.414,600.78,0.0,0.851,54.805,1144.987,642.068,0.0,0.851,2626.97,11.862,0.0,0.0,137.572,0.137,3.391,0.066
/sise/home/barasa/8_bit/experiments/April/2_350_5_True/results.csv,std,0.0,0.1,14.12,12.599,19.17,0.0,0.0,15.055,12.441,25.045,0.0,0.0,185.864,2.416,0.0,0.0,14.016,0.015,1.047,0.009
/sise/home/barasa/8_bit/experiments/April/2_350_10_True/results.csv,mean,0.0,0.0,60.846,984.951,653.85,0.0,0.851,64.95,1118.044,697.587,0.0,0.851,2609.426,11.798,0.0,0.0,133.093,0.135,4.104,0.068
/sise/home/barasa/8_bit/experiments/April/2_350_10_True/results.csv,std,0.0,0.0,0.409,7.098,26.938,0.0,0.0,0.443,12.29,33.999,0.0,0.0,293.197,2.708,0.0,0.0,13.699,0.014,0.628,0.011
/sise/home/barasa/8_bit/experiments/April/2_350_15_True/results.csv,mean,0.0,0.0,60.803,1000.658,691.562,0.0,0.851,64.775,1096.093,740.419,0.0,0.851,2492.931,11.238,0.0,0.0,95.435,0.096,3.972,0.065
/sise/home/barasa/8_bit/experiments/April/2_350_15_True/results.csv,std,0.0,0.0,0.427,17.559,14.09,0.0,0.0,0.515,22.414,17.349,0.0,0.0,340.449,2.74,0.0,0.0,27.418,0.028,0.722,0.012
/sise/home/barasa/8_bit/experiments/April/2_500_1_True/results.csv,mean,0.0,0.04,57.72,988.572,748.029,0.0,0.851,61.211,1104.574,796.776,0.0,0.851,2409.446,11.091,0.0,0.0,116.002,0.117,3.491,0.061
/sise/home/barasa/8_bit/experiments/April/2_500_1_True/results.csv,std,0.0,0.196,9.153,9.195,25.819,0.0,0.0,9.679,5.628,27.71,0.0,0.0,160.06,2.909,0.0,0.0,10.636,0.012,0.76,0.01
/sise/home/barasa/8_bit/experiments/April/2_500_3_True/results.csv,mean,0.0,0.0,30.389,1001.073,838.425,0.0,0.851,32.296,1121.998,892.165,0.0,0.851,2601.149,11.764,0.0,0.0,120.925,0.121,1.906,0.063
/sise/home/barasa/8_bit/experiments/April/2_500_3_True/results.csv,std,0.0,0.0,0.214,7.893,16.953,0.0,0.0,0.149,20.294,19.559,0.0,0.0,107.669,2.412,0.0,0.0,22.014,0.022,0.256,0.009
/sise/home/barasa/8_bit/experiments/April/2_500_5_True/results.csv,mean,0.0,0.0,30.336,983.659,890.713,0.0,0.851,32.323,1120.434,950.157,0.0,0.851,2653.723,12.219,0.0,0.0,136.775,0.139,1.987,0.066
/sise/home/barasa/8_bit/experiments/April/2_500_5_True/results.csv,std,0.0,0.0,0.243,7.132,27.525,0.0,0.0,0.126,9.286,25.945,0.0,0.0,80.103,3.444,0.0,0.0,11.255,0.012,0.283,0.01
/sise/home/barasa/8_bit/experiments/April/2_500_10_True/results.csv,mean,0.0,0.01,30.351,1004.603,944.042,0.0,0.851,32.48,1122.483,1001.717,0.0,0.851,2657.535,12.15,0.0,0.0,117.88,0.117,2.129,0.07
/sise/home/barasa/8_bit/experiments/April/2_500_10_True/results.csv,std,0.0,0.1,0.234,4.214,18.602,0.0,0.0,0.15,18.366,25.499,0.0,0.0,75.722,3.284,0.0,0.0,19.69,0.02,0.284,0.01
/sise/home/barasa/8_bit/experiments/April/2_500_15_True/results.csv,mean,0.0,0.0,45.674,991.671,990.059,0.0,0.851,48.73,1097.504,1054.908,0.0,0.851,2577.248,11.85,0.0,0.0,105.834,0.107,3.056,0.067
/sise/home/barasa/8_bit/experiments/April/2_500_15_True/results.csv,std,0.0,0.0,15.262,9.592,9.864,0.0,0.0,16.241,7.338,15.68,0.0,0.0,108.938,3.426,0.0,0.0,9.821,0.011,1.063,0.009
/sise/home/barasa/8_bit/experiments/April/2_800_1_True/results.csv,mean,0.0,0.04,60.596,1003.209,1031.838,0.0,0.851,64.303,1086.06,1102.827,0.0,0.851,2409.446,11.091,0.0,0.0,82.851,0.083,3.708,0.061
/sise/home/barasa/8_bit/experiments/April/2_800_1_True/results.csv,std,0.0,0.196,0.455,16.381,29.626,0.0,0.0,0.31,12.638,22.087,0.0,0.0,160.06,2.909,0.0,0.0,17.33,0.018,0.584,0.01
/sise/home/barasa/8_bit/experiments/April/2_800_3_True/results.csv,mean,0.0,0.0,60.763,1003.352,1103.64,0.0,0.851,64.581,1144.215,1166.886,0.0,0.851,2601.149,11.764,0.0,0.0,140.863,0.14,3.818,0.063
/sise/home/barasa/8_bit/experiments/April/2_800_3_True/results.csv,std,0.0,0.0,0.418,9.283,30.462,0.0,0.0,0.288,12.442,27.988,0.0,0.0,107.669,2.412,0.0,0.0,12.002,0.012,0.505,0.009
/sise/home/barasa/8_bit/experiments/April/2_800_5_True/results.csv,mean,0.0,0.0,60.76,988.359,1144.726,0.0,0.851,64.712,1145.66,1219.74,0.0,0.851,2653.723,12.219,0.0,0.0,157.301,0.159,3.952,0.065
/sise/home/barasa/8_bit/experiments/April/2_800_5_True/results.csv,std,0.0,0.0,0.486,16.679,13.903,0.0,0.0,0.246,10.487,30.985,0.0,0.0,80.103,3.444,0.0,0.0,18.8,0.02,0.554,0.01
/sise/home/barasa/8_bit/experiments/April/2_800_10_True/results.csv,mean,0.0,0.01,33.356,975.648,1227.423,0.0,0.851,35.691,1127.047,1308.233,0.0,0.851,2657.535,12.15,0.0,0.0,151.399,0.155,2.335,0.07
/sise/home/barasa/8_bit/experiments/April/2_800_10_True/results.csv,std,0.0,0.1,9.116,8.787,22.404,0.0,0.0,9.716,9.173,32.412,0.0,0.0,75.722,3.284,0.0,0.0,8.453,0.009,0.683,0.01
